Outcome,Estimate,H~1~,Estimate,H~1~,Estimate,H~1~,Estimate,H~1~,Estimate,H~1~
Additional terminators,-4.28 [-14.92 -- 5.85],0.67,-2.34 [-10.81 -- 5.43],0.43,0.33 [-1.25 -- 1.97],0.36,-6.15 [-19.89 -- 4.72],1.7,7.91 [-0.74 -- 18.57],3.26
Correct terminators,11.89 [6.5 -- 16.77],>100,-8.29 [-11.27 -- -5.31],>100,0.61 [-0.65 -- 1.87],0.44,-7.59 [-13.72 -- -0.67],7.41,8.07 [4.21 -- 12.04],>100
Missing terminators,3.24 [-1.14 -- 7.89],0.62,0.87 [-1.03 -- 2.78],0.14,-0.06 [-0.75 -- 0.65],0.14,3.08 [-2.9 -- 8.87],1.04,-3.54 [-6.27 -- -0.85],6.66
